2025-08-11 05:40:13 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 188
2025-08-11 05:40:14 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 189
2025-08-11 05:40:15 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 190
2025-08-11 05:40:16 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 191
2025-08-11 05:40:17 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 192
2025-08-11 05:40:18 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 193
2025-08-11 05:40:19 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 194
2025-08-11 05:40:20 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 195
2025-08-11 05:40:21 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 196
2025-08-11 05:40:22 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 197
2025-08-11 05:40:23 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 198
2025-08-11 05:40:24 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 199
2025-08-11 05:40:25 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 200
2025-08-11 05:40:26 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 201
2025-08-11 05:40:27 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 202
2025-08-11 05:40:28 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 203
2025-08-11 05:40:29 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 204
2025-08-11 05:40:30 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 205
2025-08-11 05:40:31 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 206
2025-08-11 05:40:32 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 207
2025-08-11 05:40:33 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 208
2025-08-11 05:40:34 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 209
2025-08-11 05:40:35 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 210
2025-08-11 05:40:36 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 211
2025-08-11 05:40:37 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 212
2025-08-11 05:40:38 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 213
2025-08-11 05:40:39 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 214
2025-08-11 05:40:40 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 215
2025-08-11 05:40:41 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 216
2025-08-11 05:40:42 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 217
2025-08-11 05:40:43 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 218
2025-08-11 05:40:44 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 219
2025-08-11 05:40:45 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 220
2025-08-11 05:40:46 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 221
2025-08-11 05:40:47 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 222
2025-08-11 05:40:48 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 223
2025-08-11 05:40:49 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 224
2025-08-11 05:40:50 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 225
2025-08-11 05:40:51 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 226
2025-08-11 05:40:52 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 227
2025-08-11 05:40:53 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 228
2025-08-11 05:40:54 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 229
2025-08-11 05:40:55 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 230
2025-08-11 05:40:56 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 231
2025-08-11 05:40:57 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 232
2025-08-11 05:40:58 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 233
2025-08-11 05:40:59 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 234
2025-08-11 05:41:00 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 235
2025-08-11 05:41:01 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 236
