2025-08-14 07:08:22 logger.py[line:302] INFO Logger setup done. 
2025-08-14 07:08:22 train.py[line:38] INFO Creating training data loader...
2025-08-14 07:08:22 train.py[line:47] INFO Exclude class: ADM
2025-08-14 07:29:43 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 128
2025-08-14 07:29:44 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 129
2025-08-14 07:29:45 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 130
2025-08-14 07:29:46 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 131
2025-08-14 07:29:47 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 132
2025-08-14 07:29:48 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 133
2025-08-14 07:29:49 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 134
2025-08-14 07:29:50 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 135
2025-08-14 07:29:51 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 136
2025-08-14 07:29:52 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 137
2025-08-14 07:29:53 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 138
2025-08-14 07:29:55 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 139
2025-08-14 07:29:56 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 140
2025-08-14 07:29:57 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 141
2025-08-14 07:29:58 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 142
2025-08-14 07:29:59 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 143
2025-08-14 07:30:00 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 144
2025-08-14 07:30:01 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 145
2025-08-14 07:30:02 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 146
2025-08-14 07:30:03 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 147
2025-08-14 07:30:04 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 148
2025-08-14 07:30:05 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 149
2025-08-14 07:30:06 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 150
2025-08-14 07:30:07 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 151
2025-08-14 07:30:09 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 152
2025-08-14 07:30:10 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 153
2025-08-14 07:30:11 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 154
2025-08-14 07:30:12 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 155
2025-08-14 07:30:13 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 156
2025-08-14 07:30:14 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 157
2025-08-14 07:30:15 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 158
2025-08-14 07:30:16 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 159
2025-08-14 07:30:17 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 160
